Sentence	Label
Mi piacerebbe esaminare tutte le letture che ho registrato.	richiestaStatsGener
ho avuto un episodio di mancanza di respiro ieri.	inserDatiGener
Potrei vedere le ultime misurazioni del ritmo cardiaco che ho registrato nell’ultima settimana?	richiestaStatsFreq
Ti fornisco i dati: pressione è 130/85 e il mio battito cardiaco è 70.	inserDatiTot
sono molto ansioso per la mia ipertensione.	pazienAllarmato
sono molto stressato per i miei livelli di pressione sanguigna.	pazienAllarmato
Vorrei dare un’occhiata alle ultime letture che ho inserito.	richiestaStatsGener
La mia ultima misurazione mostra una pressione sanguigna di 135/85 mmHg.	inserDatiPress
Qual è l'andamento dei miei dati nella settimana	richiestaStatsGener
hai mai provato a fare paracadutismo?	fuoriCont
il mio battito cardiaco è 75 battiti al minuto.	inserDatiFreq
Posso inserire la mia pressione sanguigna di oggi?	richiestaInsDati
la mia pressione sanguigna è 130/80.	inserDatiPress
sono molto calmo riguardo alla mia pressione alta.	pazienteSereno
come il diabete può influenzare la mia vista?	fuoriContMed
ho iniziato una nuova dieta per ridurre il sale.	inserDatiGener
ho notato che la mia pressione sanguigna aumenta quando sono nervoso.	inserDatiGener
Ho bisogno di documentare le mie ultime letture della pressione sanguigna.	richiestaInsDati
non ho ansia per la mia ipertensione.	pazienteSereno
come il caffè può influenzare l’ipertensione?	spiegazioni
ho avuto un episodio di nausea questa mattina.	inserDatiGener
posso inserire i dettagli sulla mia condizione fisica?	richiestaInsDati
addio, assistente! grazie per avermi fornito informazioni preziose sulla mia ipertensione.	saluti
arrivederci, assistente! grazie per avermi aiutato a gestire la mia ipertensione oggi.	saluti
quali sono i trattamenti disponibili per l’ipertensione?	spiegazioni
Potresti mostrarmi tutte le mie misurazioni della pressione?	richiestaStatsPress
Qual è la mia ultima misurazione visualizzata in un grafico?	richiestaStatsGener
Mi piacerebbe esaminare i dati sulla pressione che ho registrato nell’ultimo mese.	richiestaStatsPress
Ho smesso di bere tè nero da due settimane.	inserDatiGener
buonanotte, assistente! sono pronto per riposare e ricaricarmi per un altro giorno di gestione della mia ipertensione.	saluti
sono molto nervoso per la mia ipertensione.	pazienAllarmato
Qual è il dato più recente	richiestaStatsGener
la mia pressione sanguigna è 140/90.	inserDatiPress
Potrei vedere l’ultima misurazione del ritmo cardiaco che ho registrato?	richiestaStatsFreq
come il caffè può influenzare il mio sonno?	fuoriContMed
Potrei controllare le misurazioni dei sette giorni precedenti?	richiestaStatsGener
Ho iniziato a fare passeggiate regolari per aiutare a gestire la mia ipertensione.	inserDatiGener
La mia pressione sanguigna attuale è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
La mia ultima misurazione mostra una frequenza cardiaca di 70 bpm.	inserDatiFreq
Ho notato che la mia frequenza è di 73 bpm.	inserDatiFreq
posso aggiungere i dati della mia pressione sanguigna dell’anno scorso?	richiestaInsDati
ciao, assistente! sono pronto per un altro giorno di apprendimento sulla mia ipertensione.	saluti
Potrei controllare le ultime misurazioni della pressione che ho registrato nell’ultimo mese?	richiestaStatsPress
come l’asma può influenzare la mia vita quotidiana?	fuoriContMed
la mia pressione sanguigna è 140/90 e la mia frequenza cardiaca è 80 battiti al minuto.	inserDatiTot
vorrei aggiungere i dettagli del mio consumo di caffeina.	richiestaInsDati
Ho notato che la mia pressione sanguigna aumenta quando sono nervoso.	inserDatiGener
Ho misurato la frequenza ed è 80 bpm.	inserDatiFreq
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
Dammi tutte le mie misurazioni inerenti alla pressione in un grafico	richiestaStatsPress
ho paura che la mia pressione alta possa causare problemi alla vista.	pazienAllarmato
La mia pressione oggi è 120/80 e la mia frequenza cardiaca è 75 bpm.	inserDatiTot
ho iniziato a fare esercizio fisico regolarmente.	inserDatiGener
Sono molto stressato a causa della mia ipertensione.	pazienAllarmato
Posso registrare i dati della mia frequenza cardiaca di questo mese?	richiestaInsDati
vorrei registrare i miei sintomi di oggi.	richiestaInsDati
Vorrei rivedere le letture che ho inserito nell’ultima settimana.	richiestaStatsGener
Potresti spiegarmi cosa significa avere la pressione alta?	spiegazioni
Desidero visualizzare i miei dati sulla pressione dell’ultimo mese.	richiestaStatsPress
Desidero consultare le mie letture della frequenza cardiaca delle ultime quattro settimane.	richiestaStatsFreq
come l’ambiente può influenzare la mia asma?	fuoriContMed
Posso registrare i dati della mia frequenza cardiaca di questa mattina?	richiestaInsDati
buon pomeriggio, assistente! spero che tu possa aiutarmi a monitorare la mia ipertensione.	saluti
come la menopausa può influenzare l’ipertensione?	spiegazioni
Ho smesso di bere alcol da due settimane.	inserDatiGener
la mia pressione sanguigna è 120/80.	inserDatiPress
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
la mia pressione oggi è 120/80 e la mia frequenza cardiaca è 72.	inserDatiTot
Mi piacerebbe esaminare i dati sulla frequenza che ho registrato nell’ultima settimana.	richiestaStatsFreq
Potresti mostrarmi le mie misurazioni della pressione sanguigna dell’ultima settimana?	richiestaStatsPress
hai mai provato a dipingere?	fuoriCont
Ciao, assistente! Spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.	saluti
Faccio attività fisica regolare	inserDatiGener
Mi piacerebbe esaminare tutti i dati sulla pressione che ho registrato.	richiestaStatsPress
Quali sono le possibili conseguenze associate all'ipertensione?	spiegazioni
Mi sento molto sereno riguardo alla mia ipertensione.	pazienteSereno
come il fumo può influenzare l’ipertensione?	spiegazioni
sono preoccupato per i miei livelli di pressione sanguigna.	pazienAllarmato
Mi piacerebbe controllare tutte le misurazioni che ho registrato.	richiestaStatsGener
Ho notato che la mia frequenza cardiaca è molto bassa, è normale?	pazienAllarmato
Ho notato che sto dormendo meglio da quando ho iniziato la nuova dieta.	pazienteSereno
Ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.	inserDatiGener
la mia pressione sanguigna è 130/80.	inserDatiPress
La mia pressione sanguigna e frequenza cardiaca più recenti sono di 120/70 mmHg e 71 bpm.	inserDatiTot
mi sento molto preoccupato per la mia pressione alta.	pazienAllarmato
La mia pressione oggi è .../...	inserDatiPress
quale è il tuo romanzo preferito?	fuoriCont
Vorrei vedere le letture della frequenza che ho registrato negli ultimi sette giorni.	richiestaStatsFreq
alla prossima, assistente! sono entusiasta di continuare a lavorare con te sulla mia ipertensione.	saluti
Il mio battito cardiaco è 72 battiti al minuto.	inserDatiFreq
Desidero visualizzare i miei dati sulla frequenza cardiaca delle 4 settimane precedenti.	richiestaStatsFreq
Come l’ipertensione può influenzare la mia vita quotidiana?	spiegazioni
Ho avuto problemi di udito.	fuoriContMed
posso inserire i dati della mia pressione sanguigna del mese scorso?	richiestaInsDati
ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.	inserDatiGener
Quali sono i trattamenti disponibili per l’ipertensione?	spiegazioni
Se ho un paziente iperteso, aumenta molto il mio rischio di sviluppare ipertensione?	spiegazioni
Potrei vedere le ultime misurazioni che ho registrato?	richiestaStatsGener
La frequenza cardiaca è 80	inserDatiFreq
sono molto stressato a causa della mia pressione alta.	pazienAllarmato
come il sale può influenzare l’ipertensione?	spiegazioni
Che libro stai leggendo al momento?	fuoriCont
come il clima può influenzare l’ipertensione?	spiegazioni
la mia pressione sanguigna è 140/90.	inserDatiPress
non ho ansia per la mia pressione alta.	pazienteSereno
Sono felice di informarti che la mia frequenza cardiaca è stabile e mi sento bene.	pazienteSereno
mi sento molto rilassato riguardo alla mia ipertensione.	pazienteSereno
we, assistente! Spero tu possa aiutarmi oggi con la mia ipertensione.	saluti
quali sono i rischi per la salute associati all’ipertensione?	spiegazioni
come il colesterolo può influenzare le mie malattie cardiache?	fuoriContMed
posso registrare i dati della mia frequenza cardiaca dell’anno scorso?	richiestaInsDati
Quali cambiamenti nello stile di vita posso fare per gestire l’ipertensione?	spiegazioni
buongiorno, assistente! spero che tu sia pronto ad aiutarmi a gestire la mia ipertensione oggi.	saluti
Forniscimi le misurazioni sulla frequenza cardiaca nell’ultimo mese	richiestaStatsFreq
alla prossima, assistente! sono entusiasta di continuare a lavorare con te sulla mia ipertensione.	saluti
La frequenza cardiaca misurata è Z bpm.	inserDatiFreq
Fammi il resoconto dell'ultima settimana	richiestaStatsGener
Potrei controllare le ultime misurazioni della pressione che ho registrato?	richiestaStatsPress
Ho avuto un episodio di nausea questa mattina.	inserDatiGener
Frequenza cardiaca in arrivo... X bpm.	inserDatiFreq
Addio, assistente! Grazie per avermi fornito informazioni preziose sulla mia ipertensione.	saluti
La mia pressione stamattina era alta	pazienAllarmato
Vorrei rivedere i dati sulla pressione che ho inserito negli ultimi sette giorni.	richiestaStatsPress
Posso inserire i dati della mia pressione sanguigna di stasera?	richiestaInsDati
Come posso gestire il mio diabete?	fuoriContMed
Posso registrare i dati della mia frequenza cardiaca di stasera?	richiestaInsDati
come il peso può influenzare il mio diabete?	fuoriContMed
la mia pressione sanguigna attuale è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
ho appena fatto un controllo, il mio polso è 70.	inserDatiFreq
ho paura che la mia pressione alta possa causare problemi seri.	pazienAllarmato
Desidero consultare tutte le mie letture registrate.	richiestaStatsGener
la mia pressione sanguigna è 125/80.	inserDatiPress
Ho avuto problemi di digestione.	fuoriContMed
come il sale può influenzare la mia pressione sanguigna?	spiegazioni
Hai mai provato a fare sci di fondo?	fuoriCont
Quali sono le cause principali dell’ipertensione?	spiegazioni
posso inserire i dettagli del mio consumo di alcol?	richiestaInsDati
arrivederci, assistente! sono grato per il tuo aiuto nel mio viaggio con l’ipertensione.	saluti
la mia frequenza cardiaca è 68 battiti al minuto.	inserDatiFreq
mi sento molto rilassato riguardo alla mia pressione alta.	pazienteSereno
Potresti aggiungere le mie recenti letture della pressione arteriosa al mio profilo?	richiestaInsDati
Sono rilassato e la mia pressione sanguigna è rimasta costante per tutta la settimana.	pazienteSereno
Vorrei vedere tutte le letture della pressione che ho registrato.	richiestaStatsPress
la mia pressione oggi è 120/80.	inserDatiPress
Vorrei rivedere i dati sulla frequenza che ho inserito nell’ultima settimana.	richiestaStatsFreq
Pressione misurata è di 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
Sono contento di dirti che la mia pressione sanguigna è rimasta entro i limiti normali per tutto il mese.	pazienteSereno
buonanotte, assistente! grazie per avermi aiutato a capire meglio la mia ipertensione.	saluti
ho paura che la mia pressione alta possa causare problemi di equilibrio.	pazienAllarmato
Ho avuto una settimana molto tranquilla e la mia pressione sanguigna è rimasta stabile.	pazienteSereno
non ho nervosismo per la mia ipertensione.	pazienteSereno
come lo stress può influenzare la mia depressione?	fuoriContMed
Potrei vedere le ultime misurazioni della pressione che ho registrato?	richiestaStatsPress
Quali esami diagnostici dovrei fare per valutare il mio stato di salute associato all'ipertensione?	spiegazioni
Mostra in un grafico le misurazioni della frequenza cardiaca dell’ultimo mese	richiestaStatsFreq
Qual è la mia ultima misurazione della pressione arteriosa che ti ho fornito?	richiestaStatsPress
Mi piacerebbe controllare le ultime letture che ho registrato.	richiestaStatsGener
Quali sono i valori generali della mia frequenza?	richiestaStatsFreq
La mia frequenza cardiaca al momento è 120	inserDatiFreq
Qual è la mia ultima misurazione della frequenza cardiaca visualizzata?	richiestaStatsFreq
la mia pressione sanguigna è 135/85.	inserDatiPress
Voglio vedere i dati relativi alla frequenza	richiestaStatsFreq
Quali sono le mie statistiche dell’ultimo mese?	richiestaStatsGener
Mi sento molto debole, cosa mi consigli?	pazienAllarmato
come il peso può influenzare l’ipertensione?	spiegazioni
Ho appena controllato, la mia frequenza cardiaca è 75 battiti al minuto.	inserDatiFreq
ho appena fatto un controllo, la mia pressione è 135/85 e il mio polso è 70.	inserDatiTot
ho iniziato a fare yoga per aiutare a gestire lo stress.	inserDatiGener
Sono un po’ nervoso, la mia pressione sanguigna è più bassa del solito.	pazienAllarmato
Potrei controllare le ultime misurazioni che ho registrato?	richiestaStatsGener
Ho avuto un po’ di nausea e ho notato che la mia pressione sanguigna è bassa, cosa dovrei fare?	pazienAllarmato
La mia pressione sanguigna è 130/80.	inserDatiPress
Ho appena misurato la mia frequenza cardiaca e il valore è 72 bpm.	inserDatiFreq
La mia ultima lettura della pressione sanguigna era di 130/85 mmHg.	inserDatiPress
quali sono i sintomi dell’ipertensione?	spiegazioni
alla prossima, assistente! non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.	saluti
A presto, assistente! Spero che tu possa continuare ad aiutarmi a gestire la mia ipertensione.	saluti
il mio battito cardiaco è 75 battiti al minuto.	inserDatiFreq
Ho appena controllato e la mia pressione sanguigna e frequenza cardiaca sono di 130/75 mmHg e 69 bpm.	inserDatiTot
Ho appena misurato la mia pressione sanguigna e la frequenza cardiaca, i valori sono 120/80 mmHg e 72 bpm.	inserDatiTot
Vorrei vedere le letture della frequenza cardiaca che ho registrato nell’ultimo mese.	richiestaStatsFreq
La mia frequenza cardiaca attuale è di 74 bpm.	inserDatiFreq
La mia pressione sanguigna è 140/90 e la mia frequenza cardiaca è 80.	inserDatiTot
come lo stress può influenzare l’ipertensione?	spiegazioni
Potresti mostrarmi tutte le mie misurazioni della frequenza cardiaca?	richiestaStatsFreq
Ho smesso di bere bevande energetiche da un mese.	inserDatiGener
Ho avuto un attacco di panico ieri sera.	inserDatiGener
il mio battito cardiaco è 72 battiti al minuto.	inserDatiFreq
addio, assistente! sono grato per il tuo sostegno nel mio viaggio con l’ipertensione.	saluti
Vorrei rivedere tutte le letture che ho inserito.	richiestaStatsGener
posso registrare i dati della mia frequenza cardiaca del mese scorso?	richiestaInsDati
Sto cercando di mantenere un peso sano per ridurre il rischio di ipertensione.	inserDatiGener
La mia frequenza cardiaca oggi è 72 battiti al minuto.	inserDatiFreq
Desidero conservare le mie recenti letture della pressione arteriosa nel mio registro sanitario.	richiestaInsDati
Mi piacerebbe esaminare i dati sulla pressione che ho registrato negli ultimi 7 giorni.	richiestaStatsPress
come il sonno può influenzare l’ipertensione?	spiegazioni
La mia pressione sanguigna è 140/90.	inserDatiPress
Vorrei rivedere i dati più recenti sulla pressione che ho inserito.	richiestaStatsPress
Ho 45 anni e non ho mai fatto attività fisica.	inserDatiGener
Potrei controllare l’ultima misurazione della frequenza cardiaca che ho registrato?	richiestaStatsFreq
Ho paura che la mia pressione alta possa causare un ictus.	pazienAllarmato
Mi piacerebbe controllare le ultime letture della pressione che ho registrato.	richiestaStatsPress
posso inserire i dati della mia pressione sanguigna di ieri?	richiestaInsDati
non ho nervosismo per la mia pressione alta.	pazienteSereno
Desidero visualizzare i miei dati più recenti sulla pressione.	richiestaStatsPress
Potresti mostrarmi tutte le mie misurazioni della frequenza cardiaca in un grafico?	richiestaStatsFreq
Buonanotte, è bello fare affidamento su di te	saluti
Desidero aggiornare il mio registro con le nuove misurazioni della pressione sanguigna.	richiestaInsDati
Potresti mostrarmi le mie misurazioni della pressione dell’ultimo mese?	richiestaStatsPress
è possibile fornirti le misurazioni su pressione e frequenza?	richiestaInsDati
Ho registrato un valore di frequenza cardiaca di 75 bpm oggi.	inserDatiFreq
Quant è importante tenere sotto traccia l'ipertensione?	spiegazioni
